Community	Plantsp	Fruit_availability	Fruit_color	Fruit_diam_mm	Birdsp	Bird_phylo	Fruit_diet	Bill_width_mm	Body_mass	Visits
Oxapampa	Hedyosmum_translucidum	498.3333333	black	13.00090909	Pipreola_pulchra	Pipreola_pulchra	100	5.7	58.2	1
Oxapampa	Struthanthus_sp.	907.5	brown	6.0025	Pipreola_pulchra	Pipreola_pulchra	100	5.7	58.2	2
Moyobamba	Cecropia_sp.	115	green	134.852	Pitangus_lictor	Pitangus_lictor	0	5.8	25.5	9
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Pitangus_lictor	Pitangus_lictor	0	5.8	25.5	29
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Pitangus_lictor	Pitangus_lictor	0	5.8	25.5	3
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Pitangus_lictor	Pitangus_lictor	0	5.8	25.5	45
Brazil	Byrsonima_coccolobifolia	1267.761905	black	6.39125	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	14
Brazil	Erythroxylum_suberosum	74	red	4.9	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	14
Brazil	Eugenia_sp.2	9	black	5.405	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	1
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	15
Brazil	Lantana_camara	37	black	4.9	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	2
Brazil	Miconia_albicans	4594.142857	green	5.409	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	38
Brazil	Myrcia_guianensis	534.1818182	black	8.225	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	17
Brazil	Myrcia_sp.naranja	1663.8	black	9.852285354	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	16
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	1
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	9
Brazil	Ouratea_sp.1	NA	black	5.1	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	1
Brazil	Psychotria_sp.	3	black	10	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	3
Brazil	Schefflera_sp.tuberosa	2021.3	black	7.191	Pitangus_sulphuratus	Pitangus_sulphuratus	30	10.1	62.85	1
Moyobamba	Cecropia_sp.	115	green	134.852	Psarocolius_angustifrons	Psarocolius_angustifrons	40	16.9	271.5	3
Oxapampa	Cecropia_sp.biscoshito	78	green	68.904	Psarocolius_angustifrons	Psarocolius_angustifrons	40	16.9	271.5	5
Oxapampa	Cecropia_sp.peluda	144	green	200.8	Psarocolius_angustifrons	Psarocolius_angustifrons	40	16.9	271.5	13
Oxapampa	Cecropia_sp.biscoshito	78	green	68.904	Psarocolius_atrovirens	Psarocolius_atrovirens	40	9.9	152	16
Oxapampa	Cecropia_sp.peluda	144	green	200.8	Psarocolius_atrovirens	Psarocolius_atrovirens	40	9.9	152	34
Oxapampa	Miconia_glabra	5730.666667	brown	4.747	Psarocolius_atrovirens	Psarocolius_atrovirens	40	9.9	152	1
Oxapampa	Miconia_sp.pepa	1944.166667	grey	1.961	Psarocolius_atrovirens	Psarocolius_atrovirens	40	9.9	152	6
Oxapampa	Topobea_sp.	507.6666667	green	13.238	Psarocolius_atrovirens	Psarocolius_atrovirens	40	9.9	152	25
